Feature,County,Cnty ID,Type,Prefecture,Pref ID,CNTY_X_COOR,CNTY_Y_COOR,PREF_X_COOR,PREF_Y_COOR
宁乡,朝歌,82269,undetermined,河内郡,210688,114.19437,35.60645,113.251826,35.046935
羑里城,荡阴,82207,walled,河内郡,210688,114.35269,35.92552,113.251826,35.046935
铁,林虑,82216,resource,河内郡,210688,113.8128,36.0688,113.251826,35.046935
铁,安邑,95291,resource,河东郡,210217,111.160118,35.180275,111.160371,35.180226
盐池,安邑,95291,resource,河东郡,210217,111.160118,35.180275,111.160371,35.180226
高梁亭,杨,95392,admin,河东郡,210217,111.716721,36.220768,111.160371,35.180226
铁,平阳侯国,95415,resource,河东郡,210217,111.414726,36.05806,111.160371,35.180226
董亭,临汾,95427,admin,河东郡,210217,111.302857,35.685856,111.160371,35.180226
介山,汾阴,95470,mount,河东郡,210217,110.481992,35.346091,111.160371,35.180226
雷首山,蒲坂,95495,mount,河东郡,210217,110.332306,34.835129,111.160371,35.180226
沙丘亭,蒲坂,95495,admin,河东郡,210217,110.332306,34.835129,111.160371,35.180226
吴山,大阳,95280,mount,河东郡,210217,111.185144,34.816538,111.160371,35.180226
虞城,大阳,95280,walled,河东郡,210217,111.185144,34.816538,111.160371,35.180226
下阳城,大阳,95280,walled,河东郡,210217,111.185144,34.816538,111.160371,35.180226
茅津,大阳,95280,transport,河东郡,210217,111.185144,34.816538,111.160371,35.180226
颠軨坂,大阳,95280,transport,河东郡,210217,111.185144,34.816538,111.160371,35.180226
桑泉城,解,95482,walled,河东郡,210217,110.643422,35.069097,111.160371,35.180226
臼城,解,95482,walled,河东郡,210217,110.643422,35.069097,111.160371,35.180226
解城,解,95482,walled,河东郡,210217,110.643422,35.069097,111.160371,35.180226
瑕城,解,95482,walled,河东郡,210217,110.643422,35.069097,111.160371,35.180226
耿乡,皮氏,95230,admin,河东郡,210217,110.662392,35.576092,111.160371,35.180226
铁,皮氏,95230,resource,河东郡,210217,110.662392,35.576092,111.160371,35.180226
冀亭,皮氏,95230,admin,河东郡,210217,110.662392,35.576092,111.160371,35.180226
董池陂,闻喜邑,95248,lake,河东郡,210217,111.192789,35.33722,111.160371,35.180226
稷山亭,闻喜邑,95248,admin,河东郡,210217,111.192789,35.33722,111.160371,35.180226
涑水,闻喜邑,95248,river,河东郡,210217,111.192789,35.33722,111.160371,35.180226
洮水,闻喜邑,95248,river,河东郡,210217,111.192789,35.33722,111.160371,35.180226
翼城,绛邑,95423,walled,河东郡,210217,111.434052,35.628651,111.160371,35.180226
霍大山,永安,95218,mount,河东郡,210217,111.728081,36.563824,111.160371,35.180226
韩亭,河北,95285,admin,河东郡,210217,110.636908,34.685385,111.160371,35.180226
王屋山,垣,95255,mount,河东郡,210217,111.812626,35.148973,111.160371,35.180226
兖水,垣,95255,river,河东郡,210217,111.812626,35.148973,111.160371,35.180226
壶丘亭,垣,95255,admin,河东郡,210217,111.812626,35.148973,111.160371,35.180226
邵亭,垣,95255,admin,河东郡,210217,111.812626,35.148973,111.160371,35.180226
邵亭,垣,95255,admin,河东郡,210217,111.812626,35.148973,111.160371,35.180226
壶口山,北屈,95401,mount,河东郡,210217,110.68763,36.188972,111.160371,35.180226
采桑津,北屈,95401,transport,河东郡,210217,110.68763,36.188972,111.160371,35.180226
析城山,濩泽侯国,95724,mount,河东郡,210217,112.279363,35.52187,111.160371,35.180226
烛水,弘农,83053,river,弘农郡,210905,110.92898,34.65502,110.909958,34.613307
枯枞山,弘农,83053,mount,弘农郡,210905,110.92898,34.65502,110.909958,34.613307
桃丘聚,弘农,83053,sett,弘农郡,210905,110.92898,34.65502,110.909958,34.613307
务乡,弘农,83053,admin,弘农郡,210905,110.92898,34.65502,110.909958,34.613307
曹阳亭,弘农,83053,admin,弘农郡,210905,110.92898,34.65502,110.909958,34.613307
焦城,陕,83044,walled,弘农郡,210905,111.15139,34.7918,110.909958,34.613307
陕陌,陕,83044,undetermined,弘农郡,210905,111.15139,34.7918,110.909958,34.613307
谷水,黾池,82921,river,弘农郡,210905,111.7126,34.76645,110.909958,34.613307
二崤,黾池,82921,mount,弘农郡,210905,111.7126,34.76645,110.909958,34.613307
螕水,新安,82916,river,弘农郡,210905,111.8301,34.74057,110.909958,34.613307
虢略地,陆浑,82936,undetermined,弘农郡,210905,112.22488,34.28033,110.909958,34.613307
熊耳山,卢氏,83180,mount,弘农郡,210905,111.04092,34.05261,110.909958,34.613307
伊水,卢氏,83180,river,弘农郡,210905,111.04092,34.05261,110.909958,34.613307
清水,卢氏,83180,river,弘农郡,210905,111.04092,34.05261,110.909958,34.613307
閺乡,湖,83069,admin,弘农郡,210905,110.73206,34.59143,110.909958,34.613307
太华山,华阴,70324,mount,弘农郡,210905,110.0956,34.5677,110.909958,34.613307
细柳聚,长安,70623,sett,京兆尹,212275,108.93719,34.31799,108.93719,34.31799
