NAME_PY;NAME_CH;NAME_FT;X_COOR;Y_COOR;PRES_LOC;TYPE_PY;TYPE_CH;LEV_RANK;勘誤;BEG_YR;BEG_RULE;END_YR;END_RULE;NOTE_ID;OBJ_TYPE;SYS_ID;GEO_SRC;COMPILER;GEOCOMPLR;CHECKER;END_DATE;BEG_CHG_TY;END_CHG_TY
Liuquan Xian;流泉县;流泉縣;118.77007;34.85399;今山东临沭县东南盐店官庄;Xian;县;6;正確;14;;23;;85580;POINT;85580;FROM_FD;;;;;更名;更名
Licheng Xian;利城县;利城縣;118.77007;34.85399;今山东临沭县东南盐店官庄;Xian;县;6;正確;23;;429;;85581;POINT;85581;FROM_FD;;;;;更名;撤销
Weiqi Houguo;魏其侯国;魏其侯國;118.47497;35.03703;今山东临沂市东南玉皇庙附近;Houguo;侯国;6;正確;-201;;13;;85582;POINT;85582;FROM_FD;;;;;新建;更名
Qingquan Xian;清泉县;清泉縣;118.47497;35.03703;今山东临沂市东南玉皇庙附近;Xian;县;6;正確;14;;23;;85583;POINT;85583;FROM_FD;;;;;更名;更名
Weiqi Xian;魏其县;魏其縣;118.47497;35.03703;今山东临沂市东南玉皇庙附近;Xian;县;6;正確;23;;29;;85584;POINT;85584;FROM_FD;;;;;更名;撤销
xiangben Xian;襄贲县;襄賁縣;118.05984;34.69677;今山东苍山县南长城;Xian;县;6;正確;-154;;13;;85586;POINT;85586;FROM_FD;;;;;新建;更名
Zhangxin Xian;章信县;章信縣;118.05984;34.69677;今山东苍山县南长城;Xian;县;6;正確;14;;23;;85587;POINT;85587;FROM_FD;;;;;更名;更名
xiangben Xian;襄贲县;襄賁縣;118.05984;34.69677;今山东苍山县南长城;Xian;县;6;正確;23;;468;;85588;POINT;85588;FROM_FD;;;;;更名;撤销
Linyi Xian;临沂县;臨沂縣;118.30144;35.29158;今山东费县东临沂庄;Xian;县;6;正確;-154;;555;;85589;POINT;85589;FROM_FD;;;;;新建;撤销
Kaiyang Xian;开阳县;開陽縣;118.38946;35.15379;今山东临沂市北古城村;Xian;县;6;正確;-154;;13;;85592;POINT;85592;FROM_FD;;;;;新建;更名
Yanlu Xian;厌虏县;厭虜縣;118.38946;35.15379;今山东临沂市北古城村;Xian;县;6;正確;14;;23;;85593;POINT;85593;FROM_FD;;;;;更名;更名
Kaiyang Xian;开阳县;開陽縣;118.38946;35.15379;今山东临沂市北古城村;Xian;县;6;正確;23;;456;;85594;POINT;85594;FROM_FD;;;;;更名;撤销
Nancheng Houguo;南城（成）侯国;南城（成）侯國;117.64849;35.17702;今山东平邑县南故县;Houguo;侯国;6;正確;-125;;13;;85595;POINT;85595;FROM_FD;;;;;新建;更名
Nancheng Xian;南城县;南城縣;117.64849;35.17702;今山东平邑县南故县;Xian;县;6;正確;14;;555;;85596;POINT;85596;FROM_FD;;;;;更名;撤销
Fei Houguo;费侯国;費侯國;117.93291;35.35534;今山东费县西北之西费城;Houguo;侯国;6;正確;-201;;-150;;85597;POINT;85597;FROM_FD;;;;;新建;撤销
Fei Xian;费县;費縣;117.93291;35.35534;今山东费县西北西费城;Xian;县;6;正確;-151;;13;;85598;POINT;85598;FROM_FD;;;;;新建;更名
